"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1847456280878961114","Sat Oct 19 02:00:01 +0000 2024","1","@TOM5helby @pramonoanung @ranodoelkarno Mantap #JakartaMenyala ","1847457645533548627","","TOM5helby","in","DIHATIMU","0","0","0","https://x.com/Cintada16/status/1847457645533548627","1279643013455605760","Cintada16"
"1847457403417350171","Sat Oct 19 01:59:03 +0000 2024","0","Melalui program-program yang direncanakannya Pramono Anung ingin memastikan bahwa budaya Betawi tetap hidup dan berkembang #JakartaMenyala https://t.co/5rSyxu75Db","1847457403417350171","https://pbs.twimg.com/media/GaN8thwaAAAHm_b.jpg","","in","","0","0","0","https://x.com/rsy4me/status/1847457403417350171","2400487987","rsy4me"
"1847457158956536170","Sat Oct 19 01:58:05 +0000 2024","0","Dengan dukungan dari dua organisasi besar Betawi Pramono Anung bertekad untuk mewujudkan Jakarta yang berbudaya. Ia percaya bahwa budaya Betawi harus menjadi bagian penting dari pembangunan kota #JakartaMenyala https://t.co/WeSRwUVt8O","1847457158956536170","https://pbs.twimg.com/media/GaN8e30awAENkhM.jpg","","in","","0","0","0","https://x.com/rsy4me/status/1847457158956536170","2400487987","rsy4me"
"1847455371394511204","Sat Oct 19 01:57:46 +0000 2024","2","@mulanbilqis Tokoh Pemimpin Kolaboratif untuk #JakartaMenyala","1847457079361229274","","mulanbilqis","in","Indonesia","0","0","1","https://x.com/Ari3Pras/status/1847457079361229274","4200694752","Ari3Pras"
"1847456881713041762","Sat Oct 19 01:56:59 +0000 2024","0","Dukungan dari dua organisasi besar menunjukkan bahwa Pramono Anung berkomitmen untuk melestarikan budaya Betawi. Ia berjanji untuk mengintegrasikan budaya lokal dalam setiap kebijakan yang diambil sehingga masyarakat merasa dihargai dan diakomodasi #JakartaMenyala https://t.co/4FuwbSpQgk","1847456881713041762","https://pbs.twimg.com/media/GaN8PB_b0AAVPmU.jpg","","in","","0","0","0","https://x.com/rsy4me/status/1847456881713041762","2400487987","rsy4me"
"1847456575549771953","Sat Oct 19 01:55:46 +0000 2024","0","Dengan dukungan dari Forkabi dan FBR Pramono Anung dipandang sebagai sosok yang mampu memperjuangkan kesejahteraan masyarakat Betawi. Ia memiliki rencana konkret untuk meningkatkan taraf hidup dan memberikan perhatian lebih kepada masyarakat yang membutuhkan #JakartaMenyala https://t.co/h9nSn11tbS","1847456575549771953","https://pbs.twimg.com/media/GaN79VGbIAEFCtQ.jpg","","in","","0","0","0","https://x.com/rsy4me/status/1847456575549771953","2400487987","rsy4me"
"1847456280878961114","Sat Oct 19 01:54:36 +0000 2024","37"," Membangun Jakarta harus berbasis kebudayaan Itu adalah janji mas @pramonoanung dan @ranodoelkarno untuk #JakartaMenyala Jangan lagi pembangunan kota justru menggerus kearifan lokal dan budaya. https://t.co/adVQxQD3L9","1847456280878961114","https://pbs.twimg.com/amplify_video_thumb/1847456209902981120/img/A-4bgI_y91UgiK8U.jpg","","in","Bali, Indonesia","0","3","17","https://x.com/TOM5helby/status/1847456280878961114","1426438140202348546","TOM5helby"
"1847456119939326359","Sat Oct 19 01:53:57 +0000 2024","25","Wah mantap ni Mas Pram akan tinjau ulang retribusi pedagang dan melanjutkan pembangunan pasar Munjul.. Mas Pram akan selalu berpihak pada rakyat. #PrakarUntukJakarta #JakartaMenyala https://t.co/sfDrWj6Vjf","1847456119939326359","https://pbs.twimg.com/ext_tw_video_thumb/1847455907191603200/pu/img/_dk8-db9XX8B3se5.jpg","","in","DIHATIMU","0","1","14","https://x.com/Cintada16/status/1847456119939326359","1279643013455605760","Cintada16"
"1847455857057157258","Sat Oct 19 01:52:55 +0000 2024","0","Pramono Anung - Rano Karno berkomitmen untuk menghadirkan program-program yang akan meningkatkan kualitas hidup masyarakat dan memperkuat identitas budaya Betawi #JakartaMenyala https://t.co/0pvQjl05TD","1847455857057157258","https://pbs.twimg.com/media/GaN7SWgboAAVFI-.jpg","","in","","0","0","0","https://x.com/thejoyofus/status/1847455857057157258","1838601635993653253","thejoyofus"
"1847455582305079342","Sat Oct 19 01:51:49 +0000 2024","0","Dukungan dari dua ormas besar menegaskan bahwa Pramono Anung memiliki visi untuk membangun Jakarta bersama masyarakat Betawi #JakartaMenyala https://t.co/DBjViG2dkK","1847455582305079342","https://pbs.twimg.com/media/GaN7DR6bkAAbGW3.jpg","","in","","0","0","0","https://x.com/thejoyofus/status/1847455582305079342","1838601635993653253","thejoyofus"
